metric,value
accuracy,0.8375756953710356
f1_macro,0.3614247305764547
f1_weighted,0.8366546704158282
precision_macro,0.3778686467908024
precision_weighted,0.8373612534379127
recall_macro,0.3611679279018005
recall_weighted,0.8375756953710356
roc_auc_macro_ovr,0.9433128955611756
roc_auc_weighted_ovr,0.9817799716521376
