minimum_confidence,samples_retained,coverage,accuracy
0.0,19486,1.0,0.8375756953710356
0.1,19486,1.0,0.8375756953710356
0.2,19485,0.9999486811043826,0.8376186810366949
0.30000000000000004,19476,0.9994868110438263,0.8378517149311974
0.4,19408,0.9959971261418454,0.8401690024732069
0.5,19246,0.9876834650518321,0.8447989192559493
0.6000000000000001,18756,0.9625372061993226,0.8557794838984858
0.7000000000000001,18263,0.937236990659961,0.8674368942670974
0.8,17647,0.9056245509596633,0.879129597098657
0.9,16823,0.8633377809709535,0.8971645960886881
